Datetime,TotalD,GEFS,NDFD,GAVG,REAL
0,6374.999999999998,0.0,0.0,0.0,0.0
1,12749.999999999996,0.0,0.0,0.0,0.0
2,19124.999999999993,0.0,0.0,0.0,0.0
3,25499.999999999993,0.0,0.0,0.0,0.0
4,31874.999999999993,0.0,0.0,0.0,0.0
5,38249.99999999999,0.0,0.0,0.0,0.0
6,44624.99999999999,0.0,0.0,0.0,0.0
7,50999.99999999999,0.0,0.0,0.0,0.0
8,57374.99999999999,0.0,0.0,0.0,0.0
9,63749.99999999999,0.0,0.0,0.0,0.0
10,70124.99999999999,0.0,0.0,0.0,0.0
11,76499.99999999999,0.0,0.0,0.0,0.0
12,82874.99999999999,0.0,0.0,0.0,0.0
13,89249.99999999999,0.0,0.0,0.0,0.0
14,95624.99999999999,0.0,0.0,0.0,0.0
15,101999.99999999999,0.0,0.0,0.0,0.0
16,108374.99999999999,0.0,0.0,0.0,0.0
17,114749.99999999999,0.0,0.0,0.0,0.0
18,121124.99999999999,0.0,0.0,0.0,0.0
19,127499.99999999999,0.0,0.0,0.0,0.0
20,133874.99999999997,0.0,0.0,0.0,0.0
21,140249.99999999997,0.0,0.0,0.0,0.0
22,146624.99999999997,0.0,0.0,0.0,0.0
23,152999.99999999997,0.0,0.0,0.0,0.0
24,159374.99999999997,0.0,0.0,5506.538905541945,5737.499999999997
25,165749.99999999997,0.0,0.0,8331.87900619076,8751.385016944376
26,172124.99999999997,0.0,0.0,11524.774205414371,11493.237902184377
27,178499.99999999997,0.0,0.0,12275.868761299509,13437.644085903687
28,184874.99999999997,0.0,0.0,12885.712876943904,16917.042990976042
29,191249.99999999997,0.0,0.0,13142.529016756538,18826.508440882517
30,197624.99999999997,0.0,0.0,13607.882578988969,21796.315145846867
31,203999.99999999997,0.0,0.0,13810.615671787804,25044.625893199554
32,210374.99999999997,0.0,0.0,13831.296381808075,27808.610071925556
33,216749.99999999997,0.0,0.0,14151.507858786425,31549.4675826283
34,223124.99999999997,0.0,0.0,14749.132945856261,33284.94717111082
