Datetime,TotalD,GEFS,NDFD,GAVG,REAL
0,6374.999999999998,0.0,0.0,0.0,0.0
1,12749.999999999996,0.0,0.0,0.0,0.0
2,19124.999999999993,0.0,0.0,0.0,0.0
3,25499.999999999993,0.0,0.0,0.0,0.0
4,31874.999999999993,0.0,0.0,0.0,0.0
5,38249.99999999999,0.0,0.0,0.0,0.0
6,44624.99999999999,0.0,0.0,0.0,0.0
7,50999.99999999999,0.0,0.0,0.0,0.0
8,57374.99999999999,0.0,0.0,0.0,0.0
9,63749.99999999999,0.0,0.0,0.0,0.0
10,70124.99999999999,0.0,0.0,0.0,0.0
11,76499.99999999999,0.0,0.0,0.0,0.0
12,82874.99999999999,0.0,0.0,0.0,0.0
13,89249.99999999999,0.0,0.0,0.0,0.0
14,95624.99999999999,0.0,0.0,0.0,0.0
15,101999.99999999999,0.0,0.0,0.0,0.0
16,108374.99999999999,0.0,0.0,0.0,0.0
17,114749.99999999999,0.0,0.0,0.0,0.0
18,121124.99999999999,0.0,0.0,0.0,0.0
19,127499.99999999999,0.0,0.0,0.0,0.0
20,133874.99999999997,0.0,0.0,0.0,0.0
21,140249.99999999997,0.0,0.0,0.0,0.0
22,146624.99999999997,0.0,0.0,0.0,0.0
23,152999.99999999997,0.0,0.0,0.0,0.0
24,159374.99999999997,0.0,0.0,0.0,0.0
25,165749.99999999997,0.0,0.0,0.0,0.0
26,172124.99999999997,0.0,0.0,0.0,0.0
27,178499.99999999997,0.0,0.0,0.0,444.1183641045307
28,184874.99999999997,0.0,0.0,0.0,888.2367282090614
29,191249.99999999997,0.0,0.0,0.0,1332.3550923135922
30,197624.99999999997,0.0,0.0,0.0,1776.4734564181229
31,203999.99999999997,0.0,0.0,0.0,2220.5918205226535
32,210374.99999999997,0.0,0.0,0.0,2664.7101846271844
33,216749.99999999997,0.0,0.0,0.0,3108.8285487317153
34,223124.99999999997,0.0,0.0,0.0,3108.8285487317153
35,229499.99999999997,0.0,0.0,0.0,3552.946912836246
36,235874.99999999997,0.0,0.0,0.0,3997.065276940777
